p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
5.632344803898783e-46,0.7273876900169614,0.245,0.103,1.4370364532667354e-41,cocultWTMacFib,Il1b
1.192222926060699e-45,-0.4738469361780766,0.395,0.613,3.0418375735512676e-41,cocultWTMacFib,Acp2
1.892982721742464e-45,0.5420931720765618,0.687,0.561,4.829756116253722e-41,cocultWTMacFib,Krtcap2
2.0969802766061944e-45,-0.48708929094344877,0.538,0.753,5.350235477733044e-41,cocultWTMacFib,Zfp36l2
2.7664207915637128e-45,-0.5247032202972176,0.19,0.412,7.058246007595656e-41,cocultWTMacFib,Ifi47
3.402218181938683e-45,-0.43654570391857694,0.626,0.818,8.680419469398356e-41,cocultWTMacFib,Itm2c
3.423999186398906e-45,-0.5154704416800661,0.259,0.491,8.735991524178169e-41,cocultWTMacFib,Ifi211
4.3337175062690664e-45,-0.4256731983885178,0.458,0.683,1.1057046845494897e-40,cocultWTMacFib,Ppp3ca
4.5907414554461364e-45,-0.9299601091849197,0.332,0.549,1.1712817749425272e-40,cocultWTMacFib,Cd36
4.9331804126447766e-45,-0.3919489766743087,0.237,0.476,1.2586516504821884e-40,cocultWTMacFib,Vps35l
6.18758831624838e-45,-0.4261127528031456,0.202,0.43,1.5787012830076117e-40,cocultWTMacFib,Camkk2
6.472430076608163e-45,-0.4059066424234097,0.519,0.743,1.6513758097458068e-40,cocultWTMacFib,Psmb4
6.739821898879913e-45,-0.4923682444675159,0.579,0.766,1.7195981592802211e-40,cocultWTMacFib,Osbpl8
1.0813290109608035e-44,-0.5414754509447437,0.099,0.302,2.758902838565394e-40,cocultWTMacFib,Ifit1
3.2819019757425556e-44,0.4232905682555983,0.817,0.764,8.373444700909557e-40,cocultWTMacFib,Atp5md
3.3586105699805117e-44,-0.4569644927965233,0.632,0.809,8.569159008248277e-40,cocultWTMacFib,Rab8b
3.911124322340963e-44,0.396582358044713,0.897,0.852,9.978842596020734e-40,cocultWTMacFib,Ldha
4.57259106506946e-44,-0.39676795163057543,0.227,0.466,1.166650884341822e-39,cocultWTMacFib,Clcn7
5.119310075574293e-44,-0.4140276997038247,0.198,0.424,1.306140772682025e-39,cocultWTMacFib,Mat2a
