,batch,replicate,condition,culture,format,cell-type,media,W,E,N,R,genotype,A,K,P
221,B1,3,KP-Fib_N_Org_3,KP-Fib_N,co-culture,Org,N,0,0,1,0,KP,0,1,1
222,B1,1,KP-Fib_R_Org_1,KP-Fib_R,co-culture,Org,R,0,0,0,1,KP,0,1,1
223,B1,2,KP-Fib_R_Org_2,KP-Fib_R,co-culture,Org,R,0,0,0,1,KP,0,1,1
224,B1,3,KP-Fib_R_Org_3,KP-Fib_R,co-culture,Org,R,0,0,0,1,KP,0,1,1
225,B1,1,KP-Fib_WENR_Org_1,KP-Fib_WENR,co-culture,Org,WENR,1,1,1,1,KP,0,1,1
226,B1,2,KP-Fib_WENR_Org_2,KP-Fib_WENR,co-culture,Org,WENR,1,1,1,1,KP,0,1,1
227,B1,3,KP-Fib_WENR_Org_3,KP-Fib_WENR,co-culture,Org,WENR,1,1,1,1,KP,0,1,1
228,B1,1,KP-Fib_WEN_Org_1,KP-Fib_WEN,co-culture,Org,WEN,1,1,1,0,KP,0,1,1
229,B1,2,KP-Fib_WEN_Org_2,KP-Fib_WEN,co-culture,Org,WEN,1,1,1,0,KP,0,1,1
230,B1,3,KP-Fib_WEN_Org_3,KP-Fib_WEN,co-culture,Org,WEN,1,1,1,0,KP,0,1,1
231,B1,1,KP-Fib_WER_Org_1,KP-Fib_WER,co-culture,Org,WER,1,1,0,1,KP,0,1,1
232,B1,2,KP-Fib_WER_Org_2,KP-Fib_WER,co-culture,Org,WER,1,1,0,1,KP,0,1,1
233,B1,3,KP-Fib_WER_Org_3,KP-Fib_WER,co-culture,Org,WER,1,1,0,1,KP,0,1,1
234,B1,1,KP-Fib_WNR_Org_1,KP-Fib_WNR,co-culture,Org,WNR,1,0,1,1,KP,0,1,1
235,B1,2,KP-Fib_WNR_Org_2,KP-Fib_WNR,co-culture,Org,WNR,1,0,1,1,KP,0,1,1
236,B1,3,KP-Fib_WNR_Org_3,KP-Fib_WNR,co-culture,Org,WNR,1,0,1,1,KP,0,1,1
237,B1,1,KP-Fib_W_Org_1,KP-Fib_W,co-culture,Org,W,1,0,0,0,KP,0,1,1
238,B1,2,KP-Fib_W_Org_2,KP-Fib_W,co-culture,Org,W,1,0,0,0,KP,0,1,1
