ident,gene,coefD,pvalD,padjD,coefC,pvalC,padjC,mastfc,alpha,ref_alpha,mu,ref_mu,mean,ref_mean,log2fc,spec_h,spec_d
Myofibroblasts,TAGLN,6.259919408,1.9253E-256,1.2922E-252,3.27994775,2.2903E-94,4.39181E-91,6.533966568,0.971807629,0.064541833,6.561367875,3.942324411,6.520110539,-0.011292859,6.531403399,TRUE,TRUE
Myofibroblasts,HSD17B6,6.22483103,6.1043E-127,6.3029E-124,0.843063627,0.031106672,0.066807178,1.186492012,0.446102819,0.003320053,3.20136205,1.587003225,2.036810847,-6.647111019,8.683921867,TRUE,TRUE
Myofibroblasts,PLN,6.010177486,1.43971E-15,4.9299E-14,-0.883482866,1,1,0.069899306,0.07960199,0.000132802,2.611554057,4.216250267,-1.039488854,-8.660305071,7.620816217,TRUE,TRUE
Myofibroblasts,SYT10,5.719739915,2.32856E-16,8.29077E-15,#N/A,1,1,6.872108933,0.03814262,0,3.488402217,-18.24578247,-1.22403959,-18.24578247,17.02174288,TRUE,TRUE
Myofibroblasts,SOSTDC1,5.555174634,6.447E-184,1.4423E-180,2.960160668,2.02134E-24,4.76008E-22,2.699125695,0.653399668,0.011819389,5.346673773,1.351124154,4.732711461,-5.051424462,9.784135923,TRUE,TRUE
Myofibroblasts,TPM2,5.4183477,1.5587E-210,5.2304E-207,1.841356737,9.68296E-71,1.44416E-67,5.146560023,0.943615257,0.103452855,5.297796083,3.46829114,5.214066741,0.195340143,5.018726598,TRUE,TRUE
Myofibroblasts,MYL9,5.403203457,3.1522E-202,8.4624E-199,2.485949806,6.2206E-117,1.3917E-113,5.621760354,0.950248756,0.107038513,5.62093552,3.361227551,5.547312662,0.137433198,5.409879464,FALSE,FALSE
Myofibroblasts,MFAP5,5.346425265,6.37462E-43,8.55665E-41,-2.869636103,1.54676E-05,9.23723E-05,0.413891933,0.351575456,0.001992032,3.75615042,3.973524334,2.248057316,-4.997871203,7.245928519,FALSE,TRUE
Myofibroblasts,HHIP,5.060613478,9.5382E-155,1.4226E-151,0.565258747,0.001707682,0.00545767,2.178649324,0.56384743,0.010092961,3.634281058,2.415742119,2.807658091,-4.214679208,7.022337299,TRUE,TRUE
Myofibroblasts,DES,4.891156025,4.83834E-21,2.4324E-19,3.885414974,0.007107765,0.018766232,0.205526076,0.072968491,0.001195219,4.947158982,1.42417793,1.17057832,-8.282886636,9.453464956,TRUE,TRUE
Myofibroblasts,DIO2,4.749920399,1.36096E-18,5.8365E-17,-0.246137342,1,1,0.180923708,0.053067993,0.001460823,2.549147462,2.579513527,-1.68685258,-6.838958335,5.152105756,TRUE,FALSE
