replicate,162Dy_LRIG1_1,174Yb_Clusterin_1,pro_vs_rev,pro_vs_rev_log2,genotype,culture,ligand,inhibitor
3,1.8391138872460107,1.8215646053130155,1.8330451816311917,0.19460076420901679,K,K_Ctrl-Trametinib,Ctrl,Trametinib
1,1.9536278270423544,1.4094261763470635,2.414359102927544,0.6457609902890123,K,K_EREG-CA3,EREG,CA3
2,1.959538529296266,1.404321757732369,2.4584584031052166,0.6722738978495312,K,K_EREG-CA3,EREG,CA3
3,1.767076996266505,1.312916110582278,2.583836564467088,0.6374916249436586,K,K_EREG-CA3,EREG,CA3
1,2.5404303125484935,1.2687051470752921,3.8443267886434676,1.2886193923851288,K,K_EREG-CHIR99021,EREG,CHIR99021
2,2.5032905792693314,1.4112608291720414,3.315088987003021,1.09659184507521,K,K_EREG-CHIR99021,EREG,CHIR99021
3,2.523083458797392,1.3516425939535666,3.436406536024825,1.1657022555830225,K,K_EREG-CHIR99021,EREG,CHIR99021
1,2.2886214575611885,1.4502015085414552,2.919232766554039,0.8516857096730345,K,K_EREG-Ctrl,EREG,Ctrl
2,2.2818445168496724,1.3802403995904915,3.096771996801438,0.9421746944075405,K,K_EREG-Ctrl,EREG,Ctrl
3,2.500780254661697,1.5959082743506077,2.7236367645370443,0.8518957765888103,K,K_EREG-Ctrl,EREG,Ctrl
1,1.875077744285365,1.3138650344837857,2.549709620502713,0.7145539421758246,K,K_EREG-Dasatinib,EREG,Dasatinib
2,1.8455499328161893,1.207114625249519,2.89265672179497,0.8086087955188087,K,K_EREG-Dasatinib,EREG,Dasatinib
3,1.9591573878717439,1.340918200203223,2.4388265836848744,0.7179309587838588,K,K_EREG-Dasatinib,EREG,Dasatinib
1,2.0174229799382437,1.926978513314637,1.7393470273211618,0.21323683303682214,K,K_EREG-GDC0941,EREG,GDC0941
2,1.7978218127999273,1.658282612176625,1.8579115762263778,0.25189266439653085,K,K_EREG-GDC0941,EREG,GDC0941
3,2.0672102565174217,1.9084155437913968,1.8338472066871139,0.27282282228757465,K,K_EREG-GDC0941,EREG,GDC0941
1,2.2945816944528774,1.4723253190236254,2.7597510250951243,0.853340284790334,K,K_EREG-ICG001,EREG,ICG001
2,2.227696474005377,1.4602576045697626,2.684957944261439,0.8042083761579445,K,K_EREG-ICG001,EREG,ICG001
3,2.2085025960476155,1.5053979988798714,2.639550466349143,0.7725057639753966,K,K_EREG-ICG001,EREG,ICG001
1,2.177065212481147,1.9329677244412546,1.9721270459761915,0.307588577129517,K,K_EREG-PF573228,EREG,PF573228
2,2.067882166031987,1.7671442540807831,1.964539096758551,0.33940230850041136,K,K_EREG-PF573228,EREG,PF573228
3,1.9438285045736887,1.8125941415932114,1.8823945087668454,0.24349069076094604,K,K_EREG-PF573228,EREG,PF573228
1,2.5214196091373346,1.4759223435776825,3.0202482813000113,0.9871234090575046,K,K_EREG-SIS3,EREG,SIS3
2,2.472085365785497,1.3883918698635378,3.2490565291743643,1.0648378705740262,K,K_EREG-SIS3,EREG,SIS3
3,2.390247524803582,1.3757970026639652,3.1596111423645676,1.0413220246591914,K,K_EREG-SIS3,EREG,SIS3
1,1.9497429236489683,1.9331592711228447,1.6433932368275643,0.1171679237125375,K,K_EREG-Trametinib,EREG,Trametinib
2,1.8970423788304003,1.5689448518230837,2.1700629182108337,0.4518528772295401,K,K_EREG-Trametinib,EREG,Trametinib
3,1.8927044315859312,1.7073169943924313,1.9934711765421793,0.31106980616445884,K,K_EREG-Trametinib,EREG,Trametinib
1,1.7128904928504343,2.424674453356256,1.2829134495357712,-0.377455925935965,K,K_TGFb1-CA3,TGFb1,CA3
2,1.7217937382910733,2.383106292220453,1.3692968024491727,-0.31253298257277873,K,K_TGFb1-CA3,TGFb1,CA3
3,1.6764898351571236,2.014853999648446,1.6683628555297458,-0.08680147677599294,K,K_TGFb1-CA3,TGFb1,CA3
1,2.2382980982966054,2.491644489254128,1.3655280074675658,-0.07054955493218432,K,K_TGFb1-CHIR99021,TGFb1,CHIR99021
2,2.436587997022241,2.8209100225592416,1.2792933572276204,-0.1719921268166148,K,K_TGFb1-CHIR99021,TGFb1,CHIR99021
3,2.101694256363068,2.600034966650891,1.251530640942314,-0.2366488676393664,K,K_TGFb1-CHIR99021,TGFb1,CHIR99021
1,2.0298460797498254,2.8594437128078116,1.0270726217021284,-0.476720420133871,K,K_TGFb1-Ctrl,TGFb1,Ctrl
2,2.0063322896316156,2.8749456844460988,1.0247648571030763,-0.4917128286162976,K,K_TGFb1-Ctrl,TGFb1,Ctrl
3,1.9215338049957227,2.8122088623115546,0.9968638337684461,-0.5551161034950712,K,K_TGFb1-Ctrl,TGFb1,Ctrl
1,1.6295901828945647,2.282971222154733,1.1180724503194286,-0.49491660166779294,K,K_TGFb1-Dasatinib,TGFb1,Dasatinib
2,1.7387134047756034,2.3058592281572463,1.2126218154062753,-0.343656628801012,K,K_TGFb1-Dasatinib,TGFb1,Dasatinib
3,1.756095867927729,2.6582239128337024,0.9137218684481665,-0.6174550686104991,K,K_TGFb1-Dasatinib,TGFb1,Dasatinib
1,1.670682394192612,2.6938432429258734,1.16095009805513,-0.6121271198132312,K,K_TGFb1-GDC0941,TGFb1,GDC0941
2,1.7345858411720105,3.0736911071672273,0.8013503468237543,-0.890624259220831,K,K_TGFb1-GDC0941,TGFb1,GDC0941
3,1.7706807329118543,2.7740596164306175,1.119957118394399,-0.5757707894876714,K,K_TGFb1-GDC0941,TGFb1,GDC0941
1,1.8811383489010647,2.758566706474027,1.1607680454751277,-0.44438935694025916,K,K_TGFb1-ICG001,TGFb1,ICG001
2,1.7986277060391096,2.7224154102144698,1.2168615585148939,-0.497961059813767,K,K_TGFb1-ICG001,TGFb1,ICG001
3,2.001590079677657,2.818178276824022,1.107229237431534,-0.4360347726584359,K,K_TGFb1-ICG001,TGFb1,ICG001
1,1.8892049267088895,3.0632563924250285,0.9265050354359798,-0.6854788018705198,K,K_TGFb1-PF573228,TGFb1,PF573228
2,1.7204165031493337,2.7183601831537882,1.1225093412536478,-0.6266691333426248,K,K_TGFb1-PF573228,TGFb1,PF573228
3,1.9761820810395196,3.0036181437887386,1.0117005970228303,-0.5852419210733857,K,K_TGFb1-PF573228,TGFb1,PF573228
1,2.0383279347643253,2.9037743330192067,1.0404901676771938,-0.48274210175143045,K,K_TGFb1-SIS3,TGFb1,SIS3
2,1.9346721398229492,2.914973444203067,1.0425914420610556,-0.5855270200072097,K,K_TGFb1-SIS3,TGFb1,SIS3
3,2.052142432726408,2.903439484073618,1.0298811916639181,-0.4811206550600537,K,K_TGFb1-SIS3,TGFb1,SIS3
1,1.7105412737001293,1.81376675809704,1.8933394951754607,0.1176106502593089,K,K_TGFb1-Trametinib,TGFb1,Trametinib
2,1.6828421680999153,2.017721603637409,1.5898512290846716,-0.15121947464541252,K,K_TGFb1-Trametinib,TGFb1,Trametinib
3,1.5823507950033318,2.091197357777764,1.491421604131,-0.2718420942742796,K,K_TGFb1-Trametinib,TGFb1,Trametinib
1,1.9086632443144613,2.490044443924159,1.3312192482239862,-0.25289285786312404,K,K_WNT3A-CA3,WNT3A,CA3
2,1.7913796466207828,2.1870980544630907,1.389979253918454,-0.13447942666181936,K,K_WNT3A-CA3,WNT3A,CA3
3,1.8318101375550029,2.191397733830827,1.5041807569182468,-0.09574547877387808,K,K_WNT3A-CA3,WNT3A,CA3
1,2.5134847393548574,2.2240967961710276,1.8146274175287371,0.29527561917912964,K,K_WNT3A-CHIR99021,WNT3A,CHIR99021
2,2.531636095770611,2.1772171722322278,1.9559814314252586,0.35616068159682307,K,K_WNT3A-CHIR99021,WNT3A,CHIR99021
3,2.212127747187022,2.5180320874682485,1.485927518746581,-0.1204042142510543,K,K_WNT3A-CHIR99021,WNT3A,CHIR99021
1,2.2626816257110165,2.6149796144554776,1.3314698748979885,-0.1292576658360011,K,K_WNT3A-Ctrl,WNT3A,Ctrl
2,1.9246241515547025,2.2835512782100365,1.4550522438786049,-0.09798290856683413,K,K_WNT3A-Ctrl,WNT3A,Ctrl
3,1.953326159703081,2.5413040311608355,1.2497185941552682,-0.27939495352913146,K,K_WNT3A-Ctrl,WNT3A,Ctrl
1,1.8932118716154978,2.578256899728288,1.083422849537306,-0.41069520479359894,K,K_WNT3A-Dasatinib,WNT3A,Dasatinib
2,1.807697039194679,2.197859681720852,1.3935721409743516,-0.18257976879332008,K,K_WNT3A-Dasatinib,WNT3A,Dasatinib
3,1.8406735558874845,2.1166790885232123,1.3590143880248493,-0.14210230574069166,K,K_WNT3A-Dasatinib,WNT3A,Dasatinib
1,1.7756516213285127,3.0285227557004664,0.9582418976157279,-0.7167039710628518,K,K_WNT3A-GDC0941,WNT3A,GDC0941
2,2.038188872820261,2.949253888718976,1.0906946654016771,-0.4669379205706736,K,K_WNT3A-GDC0941,WNT3A,GDC0941
3,1.8181130092089957,2.922245519136493,0.9411234569040887,-0.632610887139055,K,K_WNT3A-GDC0941,WNT3A,GDC0941
1,2.0618320774814007,2.5296369317249705,1.4229047627421718,-0.17502750116964486,K,K_WNT3A-ICG001,WNT3A,ICG001
2,1.8235256649852327,2.5742708494649347,1.2887902935608742,-0.360673299930867,K,K_WNT3A-ICG001,WNT3A,ICG001
3,2.0797218547727967,2.4967858783768855,1.3998648416355983,-0.1421775537487349,K,K_WNT3A-ICG001,WNT3A,ICG001
1,1.8551772686153634,2.541573802228931,1.1756950465906708,-0.3919195947817491,K,K_WNT3A-PF573228,WNT3A,PF573228
2,1.9252473410726458,2.747879299381823,1.2177210215573748,-0.45620712108796324,K,K_WNT3A-PF573228,WNT3A,PF573228
